"","Area","Prop.Urban.Areas","Pop","Pop.Change","Prop.Below15","Prop.15to64","Prop.Over64","Prop.Swedish","Prop.Foreign","Pop.Growth","Migr.Gain","Families","Households","Prop.Households.rowSmall","Prop.Households.Rent","Prop.Educ.Degree2","Prop.Educ.High","Employed","Empl.Rate","Prop.Households.Empl","Prop.Unempl","Prop.Pension","Support.Ratio","Jobs","Prop.Primary.Sector","Prop.Secondary.Sector","Prop.Services.Sector","Jobs.Self.Suff","Margin.Citizen","Loan.Citizen","Concern.Loan.Citizen","Educ.Cult.Citizen","Soc.Health.Citizen"
"1","Helsinki",100,643272,1.3,14.3,68.9,16.8,5.7,9.5,1524,5027,158063,330933,13.3,49.2,74.7,42.2,309685,71.7,77.1,10.3,19.6,107.7,397346,0.1,10.2,88.7,128.3,1302.6,1874.7,7749.1,1924.7,2954.5
"2","Espoo",99.5,279044,1.6,19.4,66.2,14.5,7.2,10.5,1649,1366,74904,122910,40.5,37.4,75.3,45.9,131153,74.2,48.7,8.5,16.7,112.8,120676,0.1,15.8,82.8,92,827.6,2887,12290.8,2384,2574.2
"3","Tampere",98.6,231853,1.6,13.7,67.5,18.8,0.5,4.6,376,2815,58388,124456,24.7,47.2,77.8,36.3,101034,66.5,78.7,14,22.5,129.5,122611,0.2,18.7,80.1,121.4,367.1,2276.2,6273.9,2009.8,3245.6
"4","Vantaa",99.7,223027,1.7,17.8,67,15.2,2.5,11.2,1149,1287,60020,104180,36.3,38.7,68.6,30.6,106531,74.2,45.7,9.9,18.1,109.4,116320,0.3,21.5,77.4,109.2,735.4,4517,8836.9,1942.2,2661.7
"5","Oulu",96.4,201810,0.6,18.8,65.9,15.3,0.2,2.9,944,334,51683,97284,46.8,40,78.5,36.4,84168,66.3,86.7,13.9,19.6,139.8,87979,0.6,19.7,78.6,104.5,590.5,3134.6,4004.1,1941.7,2964.4
"6","Turku",99,189669,1.1,12.9,66.7,20.5,5.4,6.5,-10,1535,46943,102969,25.6,47.5,75.1,34,81618,66.3,75.8,13.6,24.2,132.4,100128,0.3,16.5,82.2,122.7,206,3991.5,7296.5,1880.1,3284.9
"7","Jyväskylä",94.7,140188,1,15.9,66.4,17.7,0.2,3.3,321,833,36212,71481,38.1,42.9,78.8,35.9,59127,65.8,83.5,14.1,21.6,137.1,63342,0.7,17.6,80.6,107.1,478.6,2609.7,7386.3,1711.7,2905.6
"8","Lahti",97.4,119573,0.1,14.7,61.8,23.5,0.4,4.3,-181,49,31282,63298,32.7,39.9,70.7,28,47187,66.5,77.2,16,27.8,153.4,50573,0.5,25.2,73.1,107.2,507.5,6314.3,9182.9,1761.5,3110.6
"9","Kuopio",85.7,118209,0.4,15,64.6,20.4,0.1,2.5,-55,348,31480,60031,42.8,38.9,77.1,32.6,49635,67.5,84.3,11.9,25.5,138.2,51833,2.7,14.5,81.6,104.4,486.6,2790,8013.1,1894.6,3418.1
"10","Pori",93.6,84587,-0.6,14.5,60.6,25,0.5,2.3,-316,-334,22733,44066,55.8,32,72,27.3,33395,67.8,80.4,13.7,29.8,153.3,34842,1.5,21.7,75.9,104.3,483.6,2878.7,5339.6,1697.6,3249.8
