KOKO MAA;86.5;5548241;0.3;15.4;61.6;23.1;5.2;5.3;-9025;0;1467653;2766679;38.4;34.4;74.2;32.6;2284673;69.5;65.2;13.3;26.0;142.2;2373526;2.7;20.7;75.1;100.0;738.8;3448.4;7453.8;2078.8;3622.3
Akaa;87.9;16467;0.5;16.3;58.9;24.8;0.2;1.9;-58;-45;4521;7857;72.6;22.2;71.1;25.5;6571;71.5;46.2;12.7;27.8;149.4;4857;3.0;35.9;59.2;70.4;1066.9;3199.6;4623.2;1801.7;3252.7
Alajärvi;61.6;9311;-1.1;16.9;53.5;29.5;0.1;2.7;-65;-122;2577;4087;91.6;17.7;67.9;22.3;3301;67.9;76.0;12.1;33.3;185.3;3462;10.7;28.5;58.7;100.1;599.7;2942.5;5437.3;2322.5;4142.8
Alavieska;51.6;2491;-1.0;19.4;54.9;25.7;0.2;0.6;-4;1;666;1091;98.2;19.8;69.4;18.7;976;73.6;44.6;11.3;29.0;157.9;710;22.3;22.3;53.5;72.4;783.1;3973.0;4469.2;2028.2;4153.8
Alavus;60.8;11197;-1.2;16.4;53.9;29.7;0.1;1.3;-39;-106;3071;5236;86.6;22.5;67.6;19.9;4206;70.7;76.2;9.7;33.0;169.4;4295;8.8;22.2;67.6;99.4;456.8;4029.7;7135.7;1990.8;4354.0
Asikkala;65.0;8033;-0.3;13.3;52.4;34.3;0.2;1.9;-63;27;2313;4039;77.1;20.6;70.4;27.0;2872;70.4;47.8;12.1;37.9;180.6;2237;8.9;29.5;58.5;75.4;1072.8;241.3;1623.5;1752.7;3559.3
Askola;54.0;4847;-0.6;18.4;60.7;20.9;3.7;2.1;-13;-52;1383;2110;96.4;13.6;70.2;22.7;2173;77.2;32.9;9.8;23.3;124.5;1390;7.6;34.8;54.6;62.0;845.6;5124.4;6696.4;2209.7;3248.3
Aura;70.5;3955;-0.1;18.8;59.5;21.7;0.6;2.0;24;-7;1143;1790;94.5;14.0;71.2;23.7;1774;78.5;30.1;9.3;23.8;123.2;1198;5.3;32.6;59.7;65.4;790.9;3115.2;3688.3;1764.6;3209.4
Brändö;0.0;449;0.0;8.9;57.2;33.9;72.2;9.6;-3;3;117;229;96.1;17.5;65.5;32.0;204;77.1;62.9;6.8;33.6;120.1;143;23.1;9.8;58.0;69.8;260.6;327.4;0.0;2452.1;2536.7
Eckerö;42.6;933;-2.6;14.0;58.0;28.0;88.2;12.2;2;4;275;462;92.9;13.6;66.3;21.1;405;71.8;39.5;12.5;27.9;136.5;278;18.0;12.6;60.8;62.8;502.1;565.8;0.0;2128.4;2851.8
Enonkoski;39.2;1362;-0.5;12.1;48.8;39.1;0.1;1.8;-13;16;392;700;95.4;21.9;66.2;18.1;470;70.4;55.4;13.9;41.9;191.3;365;23.3;5.8;68.2;79.9;1097.2;0.0;824.7;1553.0;4740.0
Enontekiö;29.2;1789;-1.1;11.9;57.6;30.6;0.8;3.0;-17;-19;483;838;96.3;21.2;72.8;22.8;676;63.6;75.6;21.6;32.6;167.5;648;10.6;12.7;72.7;87.9;639.9;2762.7;5577.4;2677.0;4950.2
